state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
TX,140000,67,"9,380,000.00",1126000,1.4,13132000,2003
UT,25000,57,"1,425,000.00",157000,1.28,1824000,2003
VT,7000,83,"581,000.00",163000,1.96,1139000,2003
VA,6000,37,"222,000.00",69000,1.68,373000,2003
WA,58000,56,"3,248,000.00",942000,1.46,4742000,2003
WV,8000,47,"376,000.00",194000,1.89,711000,2003
WI,74000,77,"5,698,000.00",2678000,1.47,8376000,2003
WY,39000,81,"3,159,000.00",474000,1.41,4454000,2003
AL,12000,87,"1,044,000.00",282000,1.41,1472000,2004
AZ,32000,55,"1,760,000.00",774000,1.11,1954000,2004
AR,40000,57,"2,280,000.00",388000,0.87,1984000,2004
CA,390000,45,"17,550,000.00",5792000,1.05,18428000,2004
CO,23000,80,"1,840,000.00",791000,1.35,2484000,2004
FL,205000,98,"20,090,000.00",2009000,1.02,20492000,2004
GA,63000,49,"3,087,000.00",648000,1.2,3704000,2004
HI,8000,96,"768,000.00",77000,1.59,1221000,2004
ID,1.00E+05,63,"6,300,000.00",2520000,1.02,6426000,2004
IL,7000,55,"385,000.00",193000,1.86,716000,2004
IN,7000,59,"413,000.00",145000,1.47,607000,2004
IA,35000,67,"2,345,000.00",1337000,1.06,2486000,2004
KS,14000,80,"1,120,000.00",683000,1.18,1322000,2004
KY,5000,56,"280,000.00",34000,1.96,549000,2004
LA,35000,98,"3,430,000.00",240000,0.79,2710000,2004
ME,7000,31,"217,000.00",37000,1.28,278000,2004
MI,65000,67,"4,355,000.00",2439000,1.16,5052000,2004
MN,135000,75,"10,125,000.00",1924000,1.08,10935000,2004
MS,18000,65,"1,170,000.00",421000,0.79,924000,2004
MO,16000,41,"656,000.00",151000,1.36,892000,2004
MT,140000,77,"10,780,000.00",3773000,1.08,11642000,2004
NE,51000,89,"4,539,000.00",2043000,1.01,4584000,2004
NV,14000,55,"770,000.00",316000,1.78,1371000,2004
NJ,12000,27,"324,000.00",45000,1.4,454000,2004
NM,8000,44,"352,000.00",127000,1.19,419000,2004
NY,64000,67,"4,288,000.00",1887000,1.36,5832000,2004
NC,9000,40,"360,000.00",72000,1.93,695000,2004
ND,390000,78,"30,420,000.00",9126000,1.05,31941000,2004
OH,16000,58,"928,000.00",353000,1.53,1420000,2004
OR,42000,54,"2,268,000.00",1111000,1.21,2744000,2004
PA,30000,54,"1,620,000.00",810000,1.42,2300000,2004
SD,215000,105,"22,575,000.00",13545000,1.01,22801000,2004
TN,6000,54,"324,000.00",91000,1.73,561000,2004
TX,116000,76,"8,816,000.00",1411000,0.97,8552000,2004
UT,24000,70,"1,680,000.00",554000,1.1,1848000,2004
VT,6000,68,"408,000.00",192000,1.51,616000,2004
VA,7000,38,"266,000.00",69000,2.1,559000,2004
WA,56000,63,"3,528,000.00",1376000,0.98,3457000,2004
WV,9000,55,"495,000.00",183000,1.41,698000,2004
WI,68000,86,"5,848,000.00",2632000,1.19,6959000,2004
WY,39000,75,"2,925,000.00",380000,1.1,3218000,2004
AL,13000,66,"858,000.00",266000,1.02,875000,2005
AZ,36000,50,"1,800,000.00",720000,1.04,1872000,2005
AR,36000,69,"2,484,000.00",571000,0.97,2409000,2005
CA,4.00E+05,75,"30,000,000.00",9300000,0.86,25800000,2005
CO,28000,70,"1,960,000.00",902000,0.97,1901000,2005
FL,160000,86,"13,760,000.00",2477000,0.87,11971000,2005
GA,59000,49,"2,891,000.00",434000,0.89,2573000,2005
HI,9000,131,"1,179,000.00",283000,1.43,1686000,2005
ID,95000,37,"3,515,000.00",1793000,0.8,2812000,2005
IL,8000,85,"680,000.00",408000,1.84,1251000,2005
IN,8000,64,"512,000.00",189000,1.18,604000,2005
IA,28000,88,"2,464,000.00",1232000,1.21,2981000,2005
KS,16000,50,"800,000.00",328000,1.05,840000,2005
KY,5000,50,"250,000.00",40000,2.08,520000,2005
LA,35000,97,"3,395,000.00",611000,0.72,2444000,2005
ME,8000,26,"208,000.00",193000,1.66,345000,2005
MI,65000,68,"4,420,000.00",2519000,0.94,4155000,2005
MN,120000,74,"8,880,000.00",1598000,0.9,7992000,2005
MS,16000,80,"1,280,000.00",346000,0.67,858000,2005
MO,15000,50,"750,000.00",180000,1.22,915000,2005
MT,130000,67,"8,710,000.00",3136000,0.86,7491000,2005
NE,40000,68,"2,720,000.00",2530000,0.87,2366000,2005
NV,12000,46,"552,000.00",442000,3.11,1717000,2005
NJ,12000,32,"384,000.00",104000,1.2,461000,2005
NM,7000,49,"343,000.00",113000,1.03,353000,2005
NY,59000,73,"4,307,000.00",2283000,1.34,5771000,2005
NC,10000,54,"540,000.00",146000,1.88,1015000,2005
ND,370000,91,"33,670,000.00",8418000,0.83,27946000,2005
OH,15000,69,"1,035,000.00",580000,1.4,1449000,2005
OR,39000,42,"1,638,000.00",557000,1.08,1769000,2005
PA,28000,56,"1,568,000.00",8.00E+05,1.12,1756000,2005
SD,220000,79,"17,380,000.00",11818000,0.83,14425000,2005
TN,7000,55,"385,000.00",92000,1.67,643000,2005
TX,84000,71,"5,964,000.00",954000,0.86,5129000,2005
UT,24000,45,"1,080,000.00",346000,0.95,1026000,2005
VT,6000,91,"546,000.00",169000,1.12,612000,2005
VA,8000,37,"296,000.00",59000,2.2,651000,2005
WA,51000,55,"2,805,000.00",1935000,1.01,2833000,2005
WV,8000,51,"408,000.00",102000,1.29,526000,2005
WI,64000,83,"5,312,000.00",2922000,1.14,6056000,2005
WY,40000,56,"2,240,000.00",291000,0.89,1994000,2005
AL,11000,72,"792,000.00",230000,1.21,958000,2006
AZ,30000,65,"1,950,000.00",839000,0.91,1775000,2006
AR,32000,76,"2,432,000.00",730000,0.89,2164000,2006
CA,380000,52,"19,760,000.00",7706000,0.97,19167000,2006
CO,36000,75,"2,700,000.00",1458000,1.04,2808000,2006
FL,170000,81,"13,770,000.00",1790000,1,13770000,2006
GA,63000,74,"4,662,000.00",746000,1.2,5594000,2006
HI,10000,93,"930,000.00",233000,1.21,1125000,2006
ID,95000,44,"4,180,000.00",2592000,0.97,4055000,2006
IL,10000,66,"660,000.00",356000,2.14,1412000,2006
IN,7000,54,"378,000.00",125000,1.58,597000,2006
IA,26000,84,"2,184,000.00",1441000,1.37,2992000,2006
KS,14000,55,"770,000.00",246000,1.17,901000,2006
KY,5000,56,"280,000.00",70000,2.19,613000,2006
LA,30000,90,"2,700,000.00",675000,0.9,2430000,2006
ME,11000,23,"253,000.00",86000,1.6,405000,2006
MI,72000,55,"3,960,000.00",2099000,1.15,4554000,2006
MN,125000,80,"10,000,000.00",3300000,0.94,9400000,2006
MS,14000,98,"1,372,000.00",453000,0.93,1276000,2006
MO,15000,46,"690,000.00",117000,0.98,676000,2006
MT,132000,79,"10,428,000.00",1981000,0.95,9907000,2006
NE,47000,73,"3,431,000.00",3843000,0.93,3191000,2006
NV,9000,37,"333,000.00",50000,3.62,1205000,2006
NJ,9000,36,"324,000.00",152000,1.14,369000,2006
NM,7000,48,"336,000.00",104000,1.19,4.00E+05,2006
NY,58000,64,"3,712,000.00",2376000,1.3,4826000,2006
NC,10000,50,"500,000.00",215000,1.57,785000,2006
ND,350000,74,"25,900,000.00",7770000,0.91,23569000,2006
OH,14000,56,"784,000.00",282000,1.4,1098000,2006
OR,46000,48,"2,208,000.00",729000,1.05,2318000,2006
PA,28000,40,"1,120,000.00",605000,1.63,1826000,2006
SD,225000,47,"10,575,000.00",10575000,0.94,9941000,2006
TN,7000,55,"385,000.00",58000,1.84,708000,2006
TX,82000,70,"5,740,000.00",976000,0.89,5109000,2006
UT,26000,50,"1,300,000.00",299000,0.98,1274000,2006
VT,6000,56,"336,000.00",144000,1.2,403000,2006
VA,8000,42,"336,000.00",114000,2.2,739000,2006
WA,49000,52,"2,548,000.00",1605000,1.24,3160000,2006
WV,6000,42,"252,000.00",68000,2.02,509000,2006
WI,64000,93,"5,952,000.00",2500000,1.12,6666000,2006
WY,39000,85,"3,315,000.00",497000,0.98,3249000,2006
AL,11000,56,"616,000.00",209000,1.49,918000,2007
AZ,30000,64,"1,920,000.00",902000,1.26,2419000,2007
AR,28000,80,"2,240,000.00",672000,0.95,2128000,2007
CA,340000,40,"13,600,000.00",3672000,1.04,14144000,2007
CO,31000,51,"1,581,000.00",838000,1.15,1818000,2007
FL,160000,71,"11,360,000.00",1363000,0.99,11246000,2007
GA,60000,58,"3,480,000.00",522000,1.19,4141000,2007
HI,10000,92,"920,000.00",285000,1.7,1564000,2007
ID,92000,41,"3,772,000.00",1848000,1.15,4338000,2007
IL,9000,63,"567,000.00",374000,2.49,1412000,2007
IN,8000,53,"424,000.00",119000,1.5,636000,2007
IA,26000,81,"2,106,000.00",1221000,1.31,2759000,2007
KS,14000,40,"560,000.00",196000,1.18,661000,2007
KY,4000,61,"244,000.00",54000,2.12,517000,2007
LA,29000,89,"2,581,000.00",413000,1.08,2787000,2007
ME,9000,26,"234,000.00",59000,1.32,309000,2007
MI,72000,64,"4,608,000.00",2350000,1.19,5484000,2007
MN,130000,68,"8,840,000.00",2564000,1.04,9194000,2007
MS,15000,92,"1,380,000.00",166000,0.91,1256000,2007
MO,14000,46,"644,000.00",148000,1.12,721000,2007
MT,135000,68,"9,180,000.00",2479000,0.99,9088000,2007
NE,45000,49,"2,205,000.00",1477000,1.03,2271000,2007
NV,10000,28,"280,000.00",67000,2.99,837000,2007
NJ,9000,57,"513,000.00",185000,1.96,1005000,2007
NM,6000,59,"354,000.00",138000,1.42,503000,2007
NY,53000,57,"3,021,000.00",1843000,1.38,4169000,2007
NC,12000,45,"540,000.00",76000,2.49,1345000,2007
ND,420000,74,"31,080,000.00",9013000,0.96,29837000,2007
OH,14000,61,"854,000.00",376000,1.77,1512000,2007
OR,46000,43,"1,978,000.00",1088000,1.31,2591000,2007
PA,25000,42,"1,050,000.00",326000,1.7,1785000,2007
SD,255000,52,"13,260,000.00",10608000,1.02,13525000,2007
TN,7000,65,"455,000.00",114000,1.99,905000,2007
TX,105000,82,"8,610,000.00",1550000,0.96,8266000,2007
UT,28000,42,"1,176,000.00",270000,1.13,1329000,2007
VT,5000,64,"320,000.00",96000,1.7,544000,2007
VA,6000,46,"276,000.00",63000,2.43,671000,2007
WA,46000,44,"2,024,000.00",648000,1.25,2530000,2007
WV,6000,48,"288,000.00",95000,2.09,602000,2007
WI,60000,84,"5,040,000.00",3024000,1.22,6149000,2007
WY,43000,80,"3,440,000.00",894000,1,3440000,2007
AL,9000,66,"594,000.00",214000,1.9,1129000,2008
AZ,25000,64,"1,600,000.00",336000,1.26,2016000,2008
AR,28000,75,"2,100,000.00",525000,1.35,2835000,2008
CA,360000,51,"18,360,000.00",4039000,1.39,25520000,2008
CO,27000,45,"1,215,000.00",656000,1.51,1835000,2008
FL,150000,79,"11,850,000.00",1304000,1.32,15642000,2008
GA,65000,71,"4,615,000.00",369000,1.52,7015000,2008
HI,10000,90,"900,000.00",225000,1.59,1431000,2008
ID,90000,40,"3,600,000.00",1440000,1.46,5256000,2008
IL,8000,56,"448,000.00",116000,2.59,1160000,2008
IN,7000,67,"469,000.00",150000,1.68,788000,2008
IA,24000,62,"1,488,000.00",580000,1.58,2351000,2008
KS,10000,61,"610,000.00",128000,1.55,946000,2008
KY,4000,39,"156,000.00",27000,2.44,381000,2008
LA,40000,77,"3,080,000.00",493000,1.36,4189000,2008
ME,7000,42,"294,000.00",79000,1.57,462000,2008
MI,71000,73,"5,183,000.00",2021000,1.44,7464000,2008
MN,122000,78,"9,516,000.00",2569000,1.39,13227000,2008
MS,14000,98,"1,372,000.00",110000,1.3,1784000,2008
MO,11000,53,"583,000.00",152000,1.68,979000,2008
MT,134000,70,"9,380,000.00",4596000,1.37,12851000,2008
NE,36000,67,"2,412,000.00",1254000,1.45,3497000,2008
NV,10000,29,"290,000.00",52000,1.42,412000,2008
NJ,9000,40,"360,000.00",122000,1.62,583000,2008
NM,6000,48,"288,000.00",95000,1.48,426000,2008
NY,50000,70,"3,500,000.00",1260000,1.65,5775000,2008
NC,12000,52,"624,000.00",137000,2.18,1360000,2008
ND,4.00E+05,90,"36,000,000.00",8640000,1.36,48960000,2008
OH,14000,53,"742,000.00",371000,1.68,1247000,2008
OR,50000,43,"2,150,000.00",1097000,1.41,3032000,2008
PA,23000,48,"1,104,000.00",276000,1.65,1822000,2008
SD,225000,95,"21,375,000.00",11970000,1.34,28643000,2008
TN,7000,61,"427,000.00",149000,2.09,892000,2008
TX,77000,64,"4,928,000.00",1380000,1.34,6604000,2008
UT,28000,48,"1,344,000.00",242000,1.57,2110000,2008
VT,5000,66,"330,000.00",119000,2.2,726000,2008
